timestamp,games
2026-09-10T16:44:36Z,1528
2026-09-10T16:53:24Z,1528
2026-09-10T16:55:42Z,1528
2026-09-10T18:23:54Z,1474
2026-09-10T18:57:27Z,1473
2026-09-10T19:01:37Z,1471
2026-09-10T21:33:22Z,1390
2026-09-10T23:21:35Z,1458
2026-09-11T01:22:17Z,1428
2026-09-11T04:31:54Z,1271
2026-09-11T04:44:31Z,1257
2026-09-11T04:45:27Z,1257
2026-09-11T04:58:02Z,1254
2026-09-11T05:13:00Z,1231
2026-09-11T05:28:01Z,1228
2026-09-11T05:43:03Z,1227
2026-09-11T05:58:03Z,1228
2026-09-11T06:13:02Z,1239
2026-09-11T06:28:04Z,1229
2026-09-11T06:29:07Z,1229
2026-09-11T06:43:03Z,1245
2026-09-11T06:58:03Z,1246
2026-09-11T07:13:37Z,1251
2026-09-11T07:28:05Z,1262
2026-09-11T07:43:01Z,1257
2026-09-11T07:58:01Z,1249
2026-09-11T08:13:02Z,1267
2026-09-11T08:28:01Z,1268
2026-09-11T08:43:03Z,1275
2026-09-11T11:41:58Z,1540
2026-09-11T15:13:25Z,1701
2026-09-11T17:06:57Z,1651
2026-09-11T17:28:06Z,1630
2026-09-11T17:43:03Z,1632
2026-09-11T17:58:02Z,1630
2026-09-11T18:13:05Z,1628
2026-09-11T18:28:04Z,1624
2026-09-11T18:34:31Z,1624
2026-09-11T18:58:03Z,1626
2026-09-11T19:13:02Z,1622
2026-09-11T19:28:04Z,1613
2026-09-11T19:43:40Z,1611
2026-09-11T19:58:03Z,1609
2026-09-11T20:13:02Z,1604
2026-09-11T20:28:02Z,1602
2026-09-11T20:43:04Z,1588
2026-09-11T20:58:02Z,1571
2026-09-11T21:13:05Z,1562
2026-09-11T21:20:23Z,1570
2026-09-11T21:43:02Z,1553
2026-09-11T21:58:04Z,1539
2026-09-11T22:13:05Z,1534
2026-09-11T22:28:06Z,1550
2026-09-11T22:43:02Z,1542
2026-09-11T23:29:25Z,1579
2026-09-12T01:11:09Z,1644
2026-09-12T01:24:02Z,1639
2026-09-12T01:43:07Z,1651
2026-09-12T01:58:01Z,1654
2026-09-12T02:13:05Z,1664
2026-09-12T02:28:01Z,1675
2026-09-12T02:52:08Z,1669
2026-09-12T03:13:03Z,1662
2026-09-12T03:28:04Z,1642
2026-09-12T03:43:01Z,1642
2026-09-12T03:58:01Z,1622
2026-09-12T04:02:25Z,1622
2026-09-12T04:05:16Z,1622
2026-09-12T04:28:01Z,1612
2026-09-12T04:43:00Z,1608
2026-09-12T04:58:02Z,1601
2026-09-12T05:13:01Z,1592
2026-09-12T05:28:01Z,1596
2026-09-12T05:43:02Z,1595
2026-09-12T05:58:01Z,1594
2026-09-12T06:13:37Z,1599
2026-09-12T06:15:07Z,1599
2026-09-12T06:28:01Z,1609
2026-09-12T06:43:04Z,1612
2026-09-12T10:50:51Z,1683
2026-09-12T13:54:57Z,1923
2026-09-12T16:49:10Z,1871
2026-09-12T18:32:32Z,1843
2026-09-12T18:58:03Z,1857
2026-09-12T19:00:59Z,1848
2026-09-12T21:21:14Z,1719
2026-09-12T21:43:03Z,1696
2026-09-12T21:58:03Z,1691
2026-09-12T22:13:06Z,1675
2026-09-12T22:28:06Z,1662
2026-09-12T22:43:12Z,1669
2026-09-12T22:58:06Z,1665
2026-09-12T23:11:12Z,1683
2026-09-12T23:28:06Z,1679
2026-09-12T23:43:03Z,1694
2026-09-12T23:58:07Z,1696
2026-09-13T00:13:04Z,1714
2026-09-13T00:28:06Z,1700
2026-09-13T00:43:08Z,1698
2026-09-13T00:58:07Z,1699
2026-09-13T01:01:45Z,1717
2026-09-13T01:28:04Z,1718
2026-09-13T01:43:06Z,1740
2026-09-13T01:58:08Z,1742
2026-09-13T02:13:03Z,1748
2026-09-13T02:28:04Z,1746
2026-09-13T02:43:04Z,1754
2026-09-13T02:58:04Z,1749
2026-09-13T03:13:03Z,1756
2026-09-13T03:28:02Z,1758
2026-09-13T03:43:05Z,1738
2026-09-13T03:58:03Z,1733
2026-09-14T04:13:05Z,1279
2026-09-14T04:28:05Z,1250
2026-09-14T04:43:02Z,1246
2026-09-14T04:58:03Z,1238
2026-09-14T05:13:17Z,1235
2026-09-14T05:18:25Z,1235
2026-09-14T05:43:03Z,1205
2026-09-14T05:58:02Z,1192
2026-09-14T06:13:04Z,1191
2026-09-14T06:28:05Z,1186
2026-09-14T06:43:04Z,1178
2026-09-14T06:58:03Z,1182
2026-09-14T07:13:07Z,1174
2026-09-14T07:28:06Z,1176
2026-09-14T07:43:03Z,1179
2026-09-14T07:58:04Z,1176
2026-09-14T08:13:05Z,1150
2026-09-14T10:46:16Z,1313
2026-09-14T16:37:30Z,1537
2026-09-14T20:37:24Z,1394
2026-09-14T23:30:30Z,1472
2026-09-15T00:44:10Z,1455
2026-09-15T00:58:05Z,1443
2026-09-15T01:13:04Z,1433
2026-09-15T01:28:03Z,1404
2026-09-15T01:43:04Z,1406
2026-09-15T01:47:54Z,1409
2026-09-15T02:13:04Z,1376
2026-09-15T02:28:02Z,1344
2026-09-15T02:43:04Z,1327
2026-09-15T02:58:07Z,1307
2026-09-15T03:13:03Z,1295
2026-09-15T03:28:02Z,1267
2026-09-15T03:43:39Z,1254
2026-09-15T03:58:05Z,1242
2026-09-15T04:13:06Z,1229
2026-09-15T04:28:05Z,1204
2026-09-15T04:43:04Z,1204
2026-09-15T04:58:08Z,1190
2026-09-15T05:13:03Z,1179
2026-09-15T05:28:04Z,1178
2026-09-15T05:43:05Z,1173
2026-09-15T05:58:03Z,1161
2026-09-15T06:13:04Z,1167
2026-09-15T06:28:05Z,1149
2026-09-15T06:43:03Z,1153
2026-09-15T06:46:48Z,1144
2026-09-15T07:13:05Z,1152
2026-09-15T12:12:42Z,1482
2026-09-15T17:00:49Z,1567
2026-09-15T20:06:22Z,1460
2026-09-15T22:54:42Z,1454
2026-09-16T00:33:55Z,1435
2026-09-16T00:58:03Z,1403
2026-09-16T01:09:40Z,1403
2026-09-16T01:28:03Z,1385
2026-09-16T01:43:03Z,1354
2026-09-16T01:58:04Z,1352
2026-09-16T02:13:05Z,1329
2026-09-16T02:28:04Z,1316
2026-09-16T02:43:06Z,1292
2026-09-16T02:58:06Z,1277
2026-09-16T03:13:03Z,1264
2026-09-16T03:28:01Z,1241
2026-09-16T03:43:04Z,1227
2026-09-16T03:58:00Z,1206
2026-09-16T04:13:01Z,1213
2026-09-16T04:28:14Z,1205
2026-09-16T04:43:00Z,1197
2026-09-16T04:58:00Z,1184
